image,seed,arm,refine_site,responsibility_mass_alpha,start_count,final_count,pre_psnr,immediate_psnr,post20_psnr,post100_psnr,score_seconds,intervention_seconds,fit20_seconds,fit100_seconds,total100_seconds,scores_finite,renders_finite,site_score_mean,site_score_max,responsibility_mass_mean,responsibility_mass_min,responsibility_mass_max,responsibility_error_mean,parent_ids,parent_jaccard_vs_residual,parent_jaccard_vs_support
COCO_train2014_000000000025,1,responsibility_alpha0.7,responsibility,0.7,64,80,20.938591,20.598955,21.765764,22.995934,0.005223,0.005738,0.183399,0.937897,0.943635,True,True,0.03990457206964493,0.050477318465709686,41.85430908203125,3.758765935897827,135.16094970703125,0.4752509891986847,"[4,28,56,54,25,21,13,14,2,3,20,8,43,22,46,29]",0.230769,0.454545
COCO_train2014_000000000030,0,residual,residual,,64,80,22.299883,22.012554,23.60573,25.783195,0.000115,0.000581,0.183109,0.867939,0.86852,True,True,0.11841356754302979,0.2519623339176178,,,,,"[33,61,62,34,40,35,48,49,41,46,37,47,39,59,60,45]",1.0,0.391304
COCO_train2014_000000000030,0,support,support,,64,80,22.299883,22.162552,23.651554,26.156242,0.002971,0.003493,0.181876,0.873211,0.876704,True,True,0.08265332877635956,0.12934017181396484,,,,,"[35,59,62,49,51,28,39,58,37,48,27,40,42,61,43,5]",0.391304,1.0
COCO_train2014_000000000030,0,responsibility_alpha1,responsibility,1.0,64,80,22.299883,21.995483,23.711754,26.190683,0.005255,0.005751,0.18102,0.872951,0.878702,True,True,0.012814736925065517,0.027116192504763603,26.319622039794922,3.068514108657837,69.03276824951172,0.31779223680496216,"[35,62,28,59,51,37,58,53,50,43,39,49,40,61,27,48]",0.391304,0.777778
COCO_train2014_000000000030,0,responsibility_alpha0.7,responsibility,0.7,64,80,22.299883,21.963696,23.665592,26.114876,0.005352,0.005889,0.186166,0.893669,0.899557,True,True,0.03418930992484093,0.05718827620148659,48.573001861572266,9.919645309448242,198.97589111328125,0.47688746452331543,"[35,59,62,58,60,61,40,28,50,2,53,43,51,37,1,63]",0.28,0.454545
COCO_train2014_000000000030,1,residual,residual,,64,80,22.509933,22.171253,23.788204,25.11261,9.4e-05,0.000587,0.195832,0.977389,0.977976,True,True,0.1265515238046646,0.41006919741630554,,,,,"[50,52,51,31,41,10,56,62,35,59,37,44,46,26,49,28]",1.0,0.333333
COCO_train2014_000000000030,1,support,support,,64,80,22.509933,22.21773,23.830946,25.595989,0.002846,0.003298,0.185264,0.905444,0.908742,True,True,0.09435300529003143,0.20712809264659882,,,,,"[52,50,37,34,46,41,59,35,5,61,60,49,43,12,38,63]",0.333333,1.0
COCO_train2014_000000000030,1,responsibility_alpha1,responsibility,1.0,64,80,22.509933,22.317589,23.903992,25.760735,0.005365,0.005878,0.188612,0.896238,0.902116,True,True,0.015449250116944313,0.042524486780166626,25.3038330078125,3.7719180583953857,84.97301483154297,0.3249678611755371,"[52,50,34,37,41,35,46,59,61,5,60,43,26,49,32,63]",0.391304,0.777778
COCO_train2014_000000000030,1,responsibility_alpha0.7,responsibility,0.7,64,80,22.509933,22.076216,23.873974,25.509489,0.005503,0.006071,0.192732,1.005891,1.011962,True,True,0.03720885515213013,0.06332974880933762,46.46400451660156,3.7719180583953857,207.76712036132812,0.46706104278564453,"[52,50,37,34,41,35,60,61,36,5,59,26,48,46,43,53]",0.333333,0.6
COCO_train2014_000000000034,0,residual,residual,,64,80,21.724308,21.610277,22.354694,23.318279,0.000113,0.000646,0.190328,0.955238,0.955884,True,True,0.15144439041614532,0.25054600834846497,,,,,"[42,25,5,50,51,59,20,47,10,41,35,7,60,48,14,6]",1.0,0.454545
COCO_train2014_000000000034,0,support,support,,64,80,21.724308,21.621494,22.360405,23.47315,0.002948,0.003417,0.173963,0.894583,0.897999,True,True,0.0897122398018837,0.10417409241199493,,,,,"[25,51,6,59,47,26,24,14,42,20,1,7,27,30,61,50]",0.454545,1.0
COCO_train2014_000000000034,0,responsibility_alpha1,responsibility,1.0,64,80,21.724308,21.621494,22.360405,23.455114,0.004979,0.005482,0.1735,0.88383,0.889312,True,True,0.012644067406654358,0.017765581607818604,19.496992111206055,4.9974470138549805,73.7529296875,0.23958954215049744,"[25,59,6,14,51,26,47,61,24,42,7,1,27,20,30,50]",0.454545,1.0
COCO_train2014_000000000034,0,responsibility_alpha0.7,responsibility,0.7,64,80,21.724308,21.58614,22.292267,23.248508,0.005051,0.005553,0.188677,0.904688,0.910241,True,True,0.032506298273801804,0.04232410341501236,51.01438522338867,6.450683116912842,141.43553161621094,0.4822448492050171,"[42,25,6,22,40,48,51,1,26,47,27,21,31,58,3,59]",0.28,0.391304
COCO_train2014_000000000034,1,residual,residual,,64,80,21.367796,21.239607,22.112324,23.217211,9.6e-05,0.000571,0.169421,0.868914,0.869485,True,True,0.1441171020269394,0.28832703828811646,,,,,"[17,43,26,52,33,39,27,49,51,28,23,47,56,1,24,21]",1.0,0.52381
COCO_train2014_000000000034,1,support,support,,64,80,21.367796,21.256882,22.115555,23.361458,0.002533,0.003068,0.17605,0.897959,0.901027,True,True,0.08863835036754608,0.1073245033621788,,,,,"[26,0,52,45,51,24,43,28,27,47,49,1,31,39,40,29]",0.52381,1.0
COCO_train2014_000000000034,1,responsibility_alpha1,responsibility,1.0,64,80,21.367796,21.195726,22.136419,23.220062,0.004895,0.005404,0.172527,0.859868,0.865271,True,True,0.01271882839500904,0.017195621505379677,28.570802688598633,8.246609687805176,65.38136291503906,0.3535812199115753,"[26,52,0,19,57,24,28,45,51,27,31,1,53,43,17,49]",0.454545,0.6
COCO_train2014_000000000034,1,responsibility_alpha0.7,responsibility,0.7,64,80,21.367796,21.234224,22.098442,23.157307,0.00468,0.005181,0.170221,0.897189,0.90237,True,True,0.03529822453856468,0.04238218441605568,42.49319839477539,10.852129936218262,90.7607650756836,0.4792807698249817,"[51,24,49,40,19,0,26,4,58,43,45,31,27,39,52,21]",0.391304,0.6
